,tweet,gender,profession,ideology_binary,ideology_multiclass
0,"@user Escribió un libro resultón, con gracejo, que mueve sentimientos por doquier. La invitaron a hablar de ello ante Presidencia, lo preparó bien para impactar. Lo logró. La intelectualidad de izquierdas, solita, hizo el resto. Le hizo la publi, le generó el hueco, la consagró.",1,1,0,0
1,@user Lo prometido es deuda. Aquí la foto: .,1,1,0,0
2,@user Bastante ñoña. Me jarté a llorar. De lo más terapéutico.,1,1,0,0
3,"@user No sé nada acerca de eso, pero está claro que vulnerar un 'Off the record' no es manera de cuidar a periodistas ""cercanos"", como debe hacer un portavoz en respeto a su responsabilidad organizativa. Eso es de primero de comunicación, y a Iglesias no se le escapa, te lo aseguro.",1,1,0,0
4,"@user ¿En qué medio tienen su podcast esos, dice Ud.?",1,1,0,0
5,"Dos vueltas al sol ya, Manu. Hijo de la tormenta. Qué confusos y agolpados los recuerdos de esa noche infinita. El pánico, la tensión, la incertidumbre y la euforia final, tan pegadas. Gracias por cuanto nos enseñas cada día. Dulces sueños, ratón. Mañana seguimos. Feliz cumple.",1,1,0,0
6,"Twitter no va a desaparecer, decir eso es desconocer cómo funciona. Lo que ya está pasando (e irá a peor) es su degeneración: veremos una selección cada vez más absurda y pobre de mensajes en nuestro timeline, y sólo quienes inviertan mucho en promoción lograrán grandes alcances.",1,1,0,0
7,"@user Ni sé quién es, ni nos conocemos de nada, ni logro adivinar de dónde procede su reproche arbitrario y errático. Feliz sábado, y buena terapia tenga Ud.",1,1,0,0
8,"@user Bueeeeno.... En ello estamos. Subterfugios, tienen muchos, por desgracia. El de esta noticia les funciona bien, por ejemplo. Ganar una plaza y que te dure un año, y luego a la calle.",1,1,0,0
9,"@user Sensación correcta. O haces méritos y CV para progresar y asentarte profesionalmente, o los haces para el impacto cultural y reconocimiento público. Son incompatibles, nadie (joven) destaca en ambos ámbitos, es imposible.",1,1,0,0
10,"Lo digo con cariño a las amigas y amigos que con su mejor intención han analizado el viral. Respeto su análisis, pero creo que la reacción colectiva (lluvia de columnas acusatorias de protofascismo y campaña de acoso en redes) ha sido algo desproporcionada y contraproducente.",1,1,0,0
11,@user Si por premisa te referías a que muchos intelectuales del primer grupo (denunciantes de la ciencia como herramienta de dominación) hoy están en el segundo (combatiendo en negacionismo con ciencia). Que así te he entendido yo. Y me parece una obviedad que eso se da tal cual.,1,1,0,0
12,"@user Creo que no ""ES"" estrictamente de ninguno de los dos, en el sentido de pertenencia identitaria. ¡Por suerte para la izquierda! Pero es un poco de los dos, y también de Podemos, en el sentido de vinculación socialmente percibida e inevitable. Y ese delicado equilibrio debe cuidar.",1,1,0,0
13,"¿Pero qué maravilla estoy leyendo y por qué no he llegado antes a Maggie O'Farrell? Novela coral bien tramada, delicias estilísticas que sorprenden, narrativa genialmente dosificada, que atrapa, delicadeza y brutalidad danzando en armonía, tacto, humanidad, agudeza. Y veraniega.",1,1,0,0
14,"@user Con 80 estudiantes por clase, no es fácil.🤔. A 15 min. de exposición cada uno: 20 horas. Una semana entera, si dedicas 4h diarias.",1,1,0,0
15,"En Securitas Direct dicen que hoy, si bajas a por el pan, igual te okupan la casa. Pero lo cierto es que yo me he dejado todo el día la mochila en la cesta de la bici, aparcada en plena calle, y por la noche aquí siguen. Que también somos esto, Madrid, que a veces se nos olvida.",1,1,0,0
16,@user Se podrá descargar gratis en cuanto l@s compañer@s del archivo la suban. La colgaré aquí y te envío copia. 😉,1,1,0,0
17,"Pues nos está quedando una esfera pública que da unas ganas locas de encerrarse en la privada, ¿no?",1,1,0,0
18,"Informar sobre barbaries y sentir que sirve de poco. Presiones internas. Amenazas externas. Denuncias. . Exposición pública. . ¿Por qué hay ""muchas compañeras quemadas que quieren dejar su trabajo en [HASHTAG] o lo hacen asqueadas""?👇🏻.",1,1,0,0
19,"@user De la comunicación sin más, diría. No en compol, ni en consultoras privadas, claro, donde impera un positivismo pragmático que no desprecia hacer pleno uso de estudios cualitativos e interpretativos, donde más sirven. Sí en la academia, sin duda.",1,1,0,0
20,"@user Hasta cuándo seguiremos con las horrorosas portadas oficiales, todas iguales.",1,1,0,0
21,"De lo mejor que se puede leer hoy para entender, sin aspavientos, el presente, la historia reciente y el futuro inmediato de las opciones reales que va a tener la izquierda en las próximas convocatorias electorales. Lectura más que recomendable. 👇🏻",1,1,0,0
22,"No me puedo creer que nadie haya inventado aún el cowork con guardería, o piscina de bolas/animación infantil con mesa a la vista para que papi curre. ¿Qué hacéis cuando llega un deadline y no hay escuela infantil ni abuel@s de guardia?😰. [HASHTAG]",1,1,0,0
23,"Los que defendéis contra viento y marea que Pablo Iglesias no aludía a [POLITICIAN] cuando usaba las palabras ""miserable"", ""cobarde"" y ""estúpido"", podéis tranquilizaros. Veréis qué pronto sale el líder y lo aclara todo desde su podcast, y santas pascuas. Ahora. Ahorita. Ya de ya.",1,1,0,0
24,"@user ""Es el alcalde el que quiere que sean los vecinos el alcalde""",1,1,0,0
25,"@user Para la Sanidad de Madrid, muy privatizada, no hay análisis científicos comparativos similares, por la sencilla razón de que los datos no están publicados, hay un problema de opacidad. Las empresas privadas no son transparentes, revelan mucha menos información. Busque Ud. alguno.",1,1,0,0
26,"Hablo de estos ejemplos, sin ir más lejos. ¿Los periodistas son excelentes u horripilantes según nos traten?🤔.",1,1,0,0
27,"Pues, os guste o no, la posición oficial de Podemos ahora mismo es que Yolanda es ""miserable, cobarde y estúpida"", y también que les debe respeto y que les vaya haciendo un hueco bien alto en las listas. Que todo lo demás es ser cloaca. Machoalfismo pasivo-agresivo, de manual.",1,1,0,0
28,"En el contexto cultural actual, a quien más dañan los vomitivos insultos proferidos ayer contra [POLITICIAN], es a quienes callan, a quienes los dicen, y sobre todo a la institución que permite decirlos y agotar el turno de palabra. Solidaridad total con quien los sufre. Basta ya.",1,1,0,0
29,@user Por lo que veo... un poco. Pero no pretendía!,1,1,0,0
30,"@user Pero ñoña bien, tampoco insulsa. Si te gusta el cine surcoreano, es el prota de Parásitos, y está fantástico. Le fue muy bien en Cannes y San Sebastián. Engancha, con recursos facilones, pero lo hace. No es una peli para analizar, es para llorársela toda.",1,1,0,0
31,"@user Ambos. Lucía Méndez ha dejado de coquetear tanto con la ""nueva política"" y Podemos (es decir, PIT, porque ¿hay diferencia?) ha pasado a confrontar individual y personalmente con much@s periodistas y medios que hasta hace poco consideraba cercan@s e invitaba a sus tertulias.",1,1,0,0
32,Por qué es importante (aunque poco habitual) que lxs periodistas estemos sindicadxs. El hilo.👇🏻,1,1,0,0
33,"De elogio transversal del encuentro, del abrazo, del brindis y hasta el villancico, frente a la digitalización de las relaciones sociales al servicio de la economía de la atención, que nos expropia nuestro bien más preciado.",1,1,0,0
34,"@user ""Progreso"" hacia el precipicio.🤦🏻. Y sin embargo, en parte acierta: disputar y redefinir (y hacerse con) la idea de progreso es clave para el ecologismo político. Sigue siendo su Talón de Aquiles discursivo, por más que se esfuerza en guarnecerlo.",1,1,0,0
35,"Quienes hoy denigráis a Lucía Méndez como si fuera una especie de ""militante anti-podemita"", ¿no os acordáis de cuando Pablo Iglesias recomendaba sus análisis, le daba entrevistas clave y la invitaba a sus tertulias? ¡Qué poca memoria y qué cambio de cultura mediática en Podemos!",1,1,0,0
36,"Ha sido un privilegio dirigir esta tesis. He disfrutado y aprendido mucho, y hemos trabado una relación académica para toda la vida. Gracias a los profesores @user  Rodrigo Castro (@user ), @user  y Luis Nitrihual (@user ), por sus apreciaciones.",1,1,0,0
37,"No olvidemos que la última vez que Iglesias se presentó a elecciones como candidato en 2021, [POLITICIAN] le adelantó en más de 350 mil votos, y él se retiró diciendo ""no contribuyo a sumar… no soy una figura que pueda contribuir a ganar"". Que igual no se equivocaba.",1,1,0,0
38,"@user De los ""cuidados"" decía yo. Pero también. Un abrazo.",1,1,0,0
39,"La fiesta de la Navidad puede vivirse de muchas maneras. Sé que muchos, en ese espacio simbólico que llamamos Izquierda, no pueden evitar vivirlo como imposición cínica, ""falsa"", consumista, de carácter patriarcal, religioso y colonial.. 'Hilillo' va...🧵",1,1,0,0
40,"La Superliga es el lobo, que hoy se disfraza de abuelita para intentar engañar al fútbol europeo, pero SU nariz y SUS dientes son muy grandes, ¿cuatro divisiones en europa? Claro la primera para ellos, como en la reforma de 2019.¿Gobierno de los clubes? Claro solo de los grandes",1,0,1,3
41,"Esto pasa cuando los tan repetidos Valores son de ""boquilla"", ""bien queda"" ""cosméticos"" ... y no se cree en ellos.",1,0,1,3
42,"Resumen de las mejores ""jugadas"" de la primera jornada de la Liga Genuine Santander celebrada en Tarragona. Gracias @user 🙏. Gracias @user  por acogernos🙏Gracias a los 300 voluntarios🙏. A todos 🙏. ¡COMPARTIR ANTES QUE COMPETIR!. [HASHTAG] 👇",1,0,1,3
43,"Intensas jornadas de trabajo, estuvimos con el Ministro de Economía de EAU🇦🇪 organizador de Investopia, con el jefe de Gobierno del Emirato de Sharjah. Firmamos un gran acuerdo Galaxy Rider. Celebramos por primera vez una Asamblea General de la @user fuera de España. etc 👇👌",1,0,1,3
44,"Oberva estos datos @user  encontrarás respuestas a muchas preguntas que te haces. Hay que informarse, estudiar, reflexionar...sacar conclusiónes y actuar. En temas tan serios e importantes para todos los clubes una actuación por impulsos lleva a la ruina a todos. 🤦🤦",1,0,1,3
45,La RFEF saca un comunicado en el que no niegan haberme espiado con micros ocultos utilizando como agentes a sus propios directivos. Su preocupación tiene más que ver con el Mundial 2030. Surrealista. (4),1,0,1,3
46,"23 días han pasado desde que fuí grabado por @user 🤦‍♂️ siguiendo intrucciones de Rubi 🤒(alias la grabadora),¿hasta cuándo este ""futbol policial""? Interesante lectura 👇. Gerardo González Otero: ""García Caba miente, la reunión con Tebas la pidió él""",1,0,1,3
47,"Esta es la realidad, pese a que a alguno le duela. 👇👇👇",1,0,1,3
48,"Rubialejo hoy en @user  sobre CVC oculta que ya hay 2 informes de la abogacía del estado, el último 1-7-2022, que señala que la operación es LEGAL, olvida que 38 clubes profesionales están de acuerdo...claro con tantas reuniones/barbacoa con ""amigas"", no los ha debido leer. 🤦",1,0,1,3
49,"La NO EXCLUSIVIDAD, es también un modelo en la explotación de contenidos deportivos y puede marcar la tendencia a medio plazo. Buscando el momento y mercados adecuados. 👇👇. Amazon entra en LaLiga SmartBank, que transmitirán al menos 10 operadores.",1,0,1,3
50,"Decían que eramos unos delincuentes e irresponsables por la operación con CVC.. Parece que la industria del fútbol se llena de delincuentes e irresponsables 😎(ironía). Inversiones por TODOS los clubes en infraestructura, digitalización...ES EL CAMINO💪.",1,0,1,3
51,HERE WE GO! 🧤🚀 Con fuerza y motivación a por lo que viene ⚡💪🏼,1,0,1,3
52,"Las medidas cautelarisimas que se han tomado contra @user  se toman sin oír a la @user  nos opendremos a las mismas en el procedimiento, esperemos el final 👇. Nota informativa de LaLiga ante el comunicado del FC Barcelona sobre la inscripción de Gavi.",1,0,1,3
53,"El Pte de la RFEF ""RUBÍ"", graba Ministros, Secretarios de Estado, Pte de Laliga,pone espías al Pte del sindicato AFE, a periodistas, viaja con novia, hace ""trampas"" en comisiones...¿hasta cuando la pasividad del ""POLICIA""?¿Quién será el próximo espiado?",1,0,1,3
54,"Lo de Al-Khelaifi es otro nivel. Nos toma a todos por tontos (ni él se cree sus mentiras) y se presenta en @user a dar lecciones con soberbia y arrogancia de ""nuevo rico"". Las normas no existen para el @user . Seguiremos luchando por un fútbol sostenible y sin trampas.",1,0,1,3
55,Hacen que nos acostumbremos y parezca fácil pero lo que hacen nuestros clubes en Europa es Historia. ¡Gracias @user y @user por llevar el fútbol español a lo más alto! ¡Y enhorabuena al @user por la clasificación a la final de la ! Impresionante.,1,0,1,3
56,¡Feliz día de nuestra Fiesta Nacional!. ¡Feliz día de la Hispanidad!. ¡Feliz día de la Virgen del Pilar!. ¡Feliz día de la Guardia Civil!. ¡Orgullosos de nuestra historia y tradiciones!. ¡Viva España!,1,0,1,3
57,"Muy llamativas las declaraciones que cita hoy @user en @user ⬇️. Lo que la Justicia les deniega y el resto de clubes les rechaza, lo intentan conseguir con lobbismo rancio impropio de esta época. Ya lo dijimos, es increíble el poder de una persona (o de un palco).",1,0,1,3
58,Nuestro campeón de @user se corona en Europa. Toda esta [HASHTAG] habéis simbolizado la integridad y la Historia en momentos difíciles para el fútbol.. ¡¡¡Gracias y enhorabuena @user !!!,1,0,1,3
59,"Estadio de La Cerámica renovado en tiempo récord con una inversión de 50M de euros fruto del Plan Impulso/CVC, el @user se hace más grande y hace más grande a la competición de @user  TODOS los clubes tienen derecho a tener modernos estadios 👍.",1,0,1,3
60,"Estimado @user , te paso los datos del raparto de tv del @user  comparado con clubes de la @user  sois perfectamente competitivos, @user ingresa menos, y vosotros como los grandes de la @user . Hay que informarse antes de ""rajar"". 👇👇",1,0,1,3
61,"Florentino Pérez a @user ""No podemos permitir que los jóvenes amen cada vez menos el fútbol porque los partidos que ofrecemos son menos atractivos"" Por favor 🙏, que alguien le diga a este hombre que eso es una FAKENEWS, de tanto repetir una mentira se la acaban creyendo👇",1,0,1,3
62,"Acertadisima apreciación de @user  (Ex directora general del CSD, ex alto cargo de la RFEF con funciones de integridad en la época de Rubiales...) sobre la decisión de hoy del presidente @user de no abrir expediente a Rubiales por prejudicialidad penal.👇👇👍👍",1,0,1,3
63,"Comenzamos una nueva TEMPORADA , de la liga de las auténticas ESTRELLAS y VALORES. 44 Clubes 💪💪.",1,0,1,3
64,"Una pena que tras semejante operativo de espionaje con detectives y bolis-grabadora, Rubiales no deje a Inda publicar TODA la conversación del sábado con @user hablando de Supercopa, NY, [POLITICIAN] Magro, Córdoba, Fuenlabrada, Aganzo, vivienda o autoridades públicas espiadas",1,0,1,3
65,"Para escribir este artículo o los autores no se han leído todos los acuerdos con CVC u ocultan intencionadamente parte del mismo. Por cierto uno de ellos reconocido madridista. Ni discriminación con los futuros clubes, ni problemas de integridad.🤔. EL PAÍS.",1,0,1,3
66,"Circula en las redes una declaraciones mías del 15-1- 2019 en el @user  las mismas están sesgadas, no reflejan el sentido de mi intervención.Los jugadores paran al final del partido y hablan sobre el partido, los otros temas son para rueda de prensa si el jugador desea👇",1,0,1,3
67,El proyecto [HASHTAG] avanza permitiendo adelantar décadas el crecimiento de la competición y de los clubes.,1,0,1,3
68,"Si el ""avestruz"" es también el ""policia"", este se convierte en encubridor.¿Tendrá Rubiallejo más grabaciones de sus reuniones de alto nivel?🤦. El 'Gobierno avestruz' en la guerra Rubiales-Tebas: ""Los presidentes de club callamos por miedo a los árbitros"".",1,0,1,3
69,"En el [HASHTAG] hemos hablado de Fútbol y Economía junto a @user  Patricia Rodríguez, @user  Jaume Roures y @user . Son muchos los retos de la industria del fútbol y es importante que las decisiones políticas no perjudiquen este sector clave",1,0,1,3
70,Hoy ha finalizado el juicio por el caso Jimmy. @user ha solicitado la reapertura del procedimiento separado por el homicidio de Jimmy con la imputación de cuatro acusados. Más información en el canal de Telegram de @user 👇👇.,1,0,1,3
71,"Un artista que revolucionó las retransmisiones taurinas y del deporte sobre todo el fútbol. Sobre el albero de las Plazas de Toros y sobre el césped de los campos de fútbol, Victor Santamaria ha dejado auténticas obras de arte. Gracias por tanto. .",1,0,1,3
72,"Algunos NO saben el daño económico que harán al fútbol nacional, para ""beneficiar""a dos.¿por qué solo escuchan y creen al de siempre?Así nos va.. [POLITICAL_PARTY] y [POLITICAL_PARTY] retiran su ‘amenaza’ al Madrid cuatro días antes del anuncio clave de Florentino sobre la Superliga",1,0,1,3
73,"Para solucionar un problema sobre la interpretación de las manos, la primera máxima es saber que existe. Pérez Burrul (ex arbitro @user ),Iturralde (ex arbitro @user . ), @user (jugador @user . ),@user y otros ¿no saben nada? 🤔🤔.",1,0,1,3
